english,vietnamese
kid,đứa trẻ
body,thân thể
information,thông tin
nothing,không có gì
ago,trước kia
lead,chì
social,xã hội
understand,hiểu không
whether,liệu
watch,đồng hồ
together,cùng với nhau
follow,theo
parent,cha mẹ
stop,dừng lại
face,mặt
anything,bất cứ điều gì
create,tạo ra
public,công cộng
already,đã sẵn sàng
speak,nói chuyện
others,người khác
read,đọc
level,cấp độ
allow,cho phép
add,cộng
office,văn phòng
spend,chi tiêu
door,cửa
health,Sức khỏe
person,người
art,Mỹ thuật
sure,chắc chắn rồi
war,chiến tranh
history,Môn lịch sử
party,bữa tiệc
within,ở trong
grow,lớn lên
result,kết quả
open,mở
morning,buổi sáng
walk,đi bộ
reason,lý do
low,thấp
win,thắng lợi
research,tìm kiếm
girl,cô gái
guy,chàng
early,sớm
food,món ăn
moment,chốc lát
himself,bản thân anh ấy
air,không khí
teacher,giáo viên
force,lực lượng
offer,phục vụ
enough,đầy đủ
education,giáo dục
across,băng qua
although,Mặc du
remember,nhớ
foot,Bàn Chân
second,thứ hai
boy,cậu bé
maybe,có lẽ
toward,theo hướng
able,có thể
age,lứa tuổi
policy,chính sách
everything,mọi thứ
love,yêu và quý
process,tiến trình
music,Âm nhạc
including,bao gồm
consider,xem xét
appear,xuất hiện
actually,thực ra
buy,mua
probably,có thể
human,Nhân loại
wait,đợi đã
serve,phục vụ
market,thị trường
die,các
send,gửi
expect,chờ đợi
sense,cảm giác
build,xây dựng
stay,ở lại
fall,rơi
oh,Oh
nation,dân tộc
plan,kế hoạch
cut,cắt tỉa
college,trường cao đẳng
interest,quan tâm
death,cái chết
course,món ăn
someone,người nào
behind,phía sau
reach,chạm tới
local,địa phương
kill,giết chết
six,sáu
remain,duy trì
effect,hiệu ứng
yeah,vâng
suggest,đề xuất
class,lớp
control,kiểm soát
raise,Quyên góp
care,quan tâm
perhaps,có lẽ
late,muộn
hard,cứng
field,cánh đồng
else,khác
pass,vượt qua
former,cũ
sell,bán
major,lớn lao
sometimes,thỉnh thoảng
require,yêu cầu
along,dọc theo
development,phát triển
themselves,chúng tôi
report,bài báo cáo
role,vai trò
better,tốt hơn
economic,thuộc kinh tế
effort,cố gắng
decide,quyết định
rate,tỷ lệ
strong,mạnh
possible,khả thi
heart,quả tim
drug,thuốc
leader,lãnh đạo
light,nhẹ
voice,giọng nói
wife,vợ
whole,trọn
police,cảnh sát
mind,tâm trí
finally,cuối cùng
pull,kéo
return,trở lại
free,miễn phí
military,quân sự
price,giá bán
less,ít hơn
according,theo
decision,phán quyết
explain,giải thích
son,Con trai
hope,mong
develop,phát triển
view,lượt xem
relationship,mối quan hệ
carry,mang
town,thành phố
road,đường bộ
drive,lái xe
arm,cánh tay
TRUE,THẬT
federal,liên bang
break,nghỉ
difference,Sự khác biệt
thank,cám ơn
receive,nhận
value,giá trị
international,quốc tế
building,Tòa nhà
action,hoạt động
full,đầy
model,kiểu mẫu
join,tham gia
season,Mùa
society,xã hội
tax,Thuế
director,giám đốc
position,Chức vụ
player,người chơi
agree,đồng ý không
especially,đặc biệt là
record,ghi
pick,nhặt
wear,mặc vào
paper,giấy
special,đặc biệt
space,khoảng trống
ground,đất
form,mẫu đơn
support,hỗ trợ
event,Sự kiện
official,viên chức
whose,của ai
matter,vấn đề
everyone,mọi người
center,trung tâm
couple,cặp đôi
site,Địa điểm
project,dự định
hit,đánh
base,căn cứ
activity,hoạt động
star,ngôi sao
table,cái bàn
court,tòa án
produce,sản xuất
eat,ăn
teach,dạy
oil,dầu
half,một nửa
situation,tình huống
easy,dễ dàng
cost,Giá cả
industry,ngành công nghiệp
figure,nhân vật
street,đường phố
image,hình ảnh
itself,chính nó
phone,điện thoại
either,một trong hai
data,dữ liệu
cover,che
quite,hoàn toàn
picture,bức ảnh
clear,xa lạ
practice,luyện tập
piece,mảnh
land,đất
recent,gần đây
describe,mô tả
product,sản phẩm
doctor,Bác sĩ
wall,Tường
patient,bệnh nhân
worker,người làm việc
news,Tin tức
test,kiểm tra
movie,bộ phim
certain,chắc chắn
north,Bắc
personal,cá nhân
simply,đơn giản
third,ngày thứ ba
technology,Công nghệ
catch,nắm lấy
step,bước chân
baby,đứa bé
computer,máy tính
type,loại
attention,chú ý
draw,vẽ tranh
film,phim ảnh
Republican,Đảng Cộng hòa
tree,cây
source,nguồn
red,màu đỏ
nearly,Gần
organization,tổ chức
choose,chọn
cause,nguyên nhân
hair,tóc
century,thế kỷ
evidence,bằng chứng
window,cửa sổ
difficult,khó khăn
listen,nghe
soon,Sớm
billion,tỷ
chance,cơ hội
brother,Anh trai
energy,năng lượng
period,khoảng thời gian
summer,mùa hè
realize,nhận ra
hundred,Hàng trăm
available,có sẵn
plant,cây
likely,rất có thể
opportunity,cơ hội
term,kỳ hạn
short,ngắn ngủi
letter,thư
condition,"điều kiện, tình trạng, trạng thái"
choice,sự lựa chọn
single,Độc thân
rule,quy tắc
daughter,Con gái
administration,sự quản lý
south,miền Nam
husband,chồng
Congress,Hội nghị
floor,tầng lầu
campaign,chiến dịch
material,nguyên liệu
population,dân số
economy,nền kinh tế
medical,Y khoa
hospital,bệnh viện
church,Nhà thờ
close,đóng lại
thousand,ngàn
risk,đặt vào may rủi
current,hiện hành
fire,lửa
future,Tương lai
wrong,Sai lầm
involve,liên quan đến
defense,phòng thủ
anyone,bất kỳ ai
increase,tăng
security,Bảo vệ
bank,ngân hàng
myself,riêng tôi
certainly,chắc chắn
west,hướng Tây
sport,thể thao
board,Cái bảng
seek,tìm kiếm
per,mỗi
subject,vấn đề
officer,nhân viên văn phòng
private,riêng
rest,còn lại
behavior,cư xử
deal,đối phó
performance,hiệu suất
throw,phi
top,hàng đầu
quickly,một cách nhanh chóng
past,quá khứ
goal,ghi bàn
bed,Giường
order,trật tự
author,tác giả
fill,lấp đầy
represent,đại diện
focus,tiêu điểm
foreign,ngoại quốc
drop,rơi vãi
blood,máu
upon,trên
agency,đại lý
push,đẩy
nature,tự nhiên
color,màu
recently,mới đây
store,cửa hàng
reduce,giảm
sound,âm thanh
note,Ghi chú
fine,khỏe
near,gần
movement,sự chuyển động
page,trang
enter,đi vào
share,chia sẻ
common,phổ thông
poor,nghèo
natural,tự nhiên
race,cuộc đua
concern,liên quan
series,loạt
significant,có ý nghĩa
similar,tương tự
hot,nóng bức
language,ngôn ngữ
usually,thông thường
response,phản ứng
dead,đã chết
rise,tăng lên
animal,động vật
factor,hệ số
decade,thập kỷ
article,mạo từ
shoot,bắn
east,phía đông
save,tiết kiệm
seven,Bảy
artist,nghệ sĩ
scene,bối cảnh
stock,Cổ phần
career,nghề nghiệp
despite,cho dù
central,trung tâm
eight,tám
thus,do đó
treatment,sự đối đãi
beyond,vượt ra ngoài
happy,sung sướng
exactly,chính xác
protect,bảo vệ
approach,tiếp cận
lie,nằm
size,kích thước
dog,chú chó
fund,quỹ
serious,nghiêm trọng
occur,xảy ra
media,phương tiện truyền thông
ready,Sẵn sàng
sign,dấu hiệu
thought,tư tưởng
list,danh sách
individual,"riêng biệt, cá nhân, cá thể"
simple,giản dị
quality,phẩm chất
pressure,sức ép
accept,Chấp nhận
answer,câu trả lời
resource,nguồn
identify,nhận dạng
left,trái
meeting,gặp gỡ
determine,quyết tâm
prepare,chuẩn bị
disease,dịch bệnh
whatever,sao cũng được
success,thành công
argue,tranh cãi
cup,tách
particularly,cụ thể
amount,số lượng
ability,khả năng
staff,Nhân Viên
recognize,nhận ra
indicate,biểu thị
character,nhân vật
growth,sự phát triển
loss,thua
degree,bằng cấp
wonder,ngạc nhiên
attack,tấn công
herself,chính cô ấy
region,khu vực
television,vô tuyến
box,hộp
TV,TV
training,đào tạo
pretty,khá
trade,buôn bán
election,cuộc bầu cử
everybody,mọi người
physical,thuộc vật chất
lay,đặt nằm
general,tổng quan
feeling,cảm giác
standard,Tiêu chuẩn
bill,hóa đơn
message,thông điệp
fail,Thất bại
outside,ở ngoài
arrive,đến
analysis,phân tích
benefit,ích lợi
sex,Tình dục
forward,phía trước
lawyer,luật sư
present,hiện nay
section,tiết diện
environmental,thuộc về môi trường
glass,thủy tinh
skill,kỹ năng
sister,em gái
PM,BUỔI CHIỀU
professor,Giáo sư
operation,hoạt động
financial,tài chính
crime,tội phạm
stage,sân khấu
ok,Vâng
compare,so sánh
authority,cơ quan
miss,cô
design,thiết kế
sort,loại
act,hành động
ten,mười
knowledge,hiểu biết
gun,Súng
station,ga tàu
blue,màu xanh da trời
strategy,chiến lược
clearly,thông suốt
discuss,bàn luận
indeed,thực vậy
truth,sự thật
song,bài hát
example,ví dụ
democratic,Dân chủ
check,kiểm tra
environment,môi trường
leg,Chân
dark,tối
various,nhiều
rather,hơn là
laugh,cười
guess,đoán
executive,"chấp hành, quản lý"
prove,chứng minh
hang,treo
entire,toàn bộ
rock,đá
forget,quên đi
claim,yêu cầu
remove,gỡ bỏ
manager,người quản lý
enjoy,vui thích
network,mạng
legal,hợp pháp
religious,Tôn giáo
cold,lạnh
final,cuối cùng
main,chủ yếu
science,khoa học
green,màu xanh lá
memory,kỉ niệm
card,Thẻ
above,ở trên
seat,chỗ ngồi
cell,tế bào
establish,thiết lập
nice,đẹp
trial,sự thử nghiệm
expert,thành thạo
spring,mùa xuân
firm,chắc chắn
Democrat,Dân chủ
radio,Đài
visit,chuyến thăm
management,sự quản lý
avoid,ngăn ngừa
imagine,tưởng tượng
tonight,đêm nay
huge,to lớn
ball,trái bóng
finish,Kết thúc
yourself,bản thân bạn
theory,học thuyết
impact,va chạm
respond,đáp ứng
statement,bản tường trình
maintain,duy trì
charge,sạc điện
popular,phổ biến
traditional,truyền thống
onto,trên
reveal,bộc lộ
direction,phương hướng
weapon,vũ khí
employee,người lao động
cultural,thuộc văn hóa
contain,Lưu trữ
peace,hòa bình
pain,nỗi đau
apply,áp dụng
measure,đo lường
wide,rộng
shake,lắc
fly,bay
interview,phỏng vấn
manage,quản lý
chair,cái ghế
fish,cá
particular,cụ thể
camera,Máy ảnh
structure,cấu trúc
politics,chính trị
perform,trình diễn
bit,chút
weight,trọng lượng
suddenly,đột nhiên
discover,phát hiện
candidate,ứng viên
production,sản lượng
treat,đãi
trip,chuyến đi chơi
evening,chiều
affect,có ảnh hưởng đến
inside,phía trong
conference,hội nghị
unit,đơn vị
style,Phong cách
adult,người lớn
worry,lo
range,phạm vi
mention,đề cập đến
deep,sâu
edge,bờ rìa
specific,cụ thể
writer,nhà văn
trouble,rắc rối
necessary,cần thiết
throughout,xuyên suốt
challenge,thách đấu
fear,nỗi sợ
shoulder,vai
institution,Tổ chức
middle,tên đệm
sea,biển
dream,mơ
bar,quán ba
beautiful,đẹp
property,tài sản
instead,thay thế
improve,cải tiến
stuff,vật dụng nhỏ
detail,chi tiết
method,phương pháp
somebody,có ai
magazine,tạp chí
hotel,khách sạn
soldier,lính
reflect,phản chiếu
heavy,nặng
sexual,tình dục
bag,cặp
heat,nhiệt
marriage,kết hôn
tough,khó
sing,điều đó
surface,mặt
purpose,mục đích
exist,hiện hữu
pattern,mẫu
whom,ai
skin,làn da
agent,đại lý
owner,chủ nhân
machine,máy móc
gas,khí ga
ahead,phía trước
generation,thế hệ
commercial,Quảng cáo
address,Địa chỉ
cancer,bệnh ung thư
item,mục
reality,thực tế
coach,huấn luyện viên
Mrs,Bà
yard,cái sân
beat,đánh đập
violence,bạo lực
total,toàn bộ
tend,có xu hướng
investment,sự đầu tư
discussion,thảo luận
finger,ngón tay
garden,sân vườn
notice,lưu ý
collection,thu thập
modern,hiện đại
task,nhiệm vụ
partner,bạn đồng hành
positive,tích cực
civil,dân sự
kitchen,phòng bếp
consumer,khách hàng
shot,bắn
budget,ngân sách
wish,muốn
painting,bức vẽ
scientist,nhà khoa học
safe,an toàn
agreement,hiệp định
capital,vốn
mouth,miệng
nor,cũng không
victim,nạn nhân
newspaper,báo chí
threat,nguy cơ
responsibility,trách nhiệm
smile,mỉm cười
attorney,Luật sư
score,ghi bàn
account,tài khoản
interesting,hấp dẫn
audience,khán giả
rich,giàu có
dinner,bữa ăn tối
vote,bầu cử
western,miền Tây
relate,kể lại
travel,du lịch
debate,tranh luận
prevent,ngăn ngừa
citizen,công dân
majority,số đông
none,không ai
front,đổi diện
born,sinh ra
admit,thừa nhận
senior,cao cấp
assume,cho rằng
wind,gió
key,Chìa khóa
professional,cao thủ
mission,Sứ mệnh
fast,Nhanh
alone,một mình
customer,khách hàng
suffer,đau khổ
speech,phát biểu
successful,thành công
option,Tùy chọn
participant,người tham gia
southern,phía Nam
fresh,mới
eventually,sau cùng
forest,rừng
video,băng hình
global,toàn cầu
Senate,Thượng nghị viện
reform,cải cách
access,quyền
restaurant,quán ăn
judge,thẩm phán
publish,công bố
relation,quan hệ
release,giải phóng
bird,chim
opinion,ý kiến
credit,tín dụng
critical,bạo kích
corner,góc
concerned,lo lắng
recall,Gợi lại
version,phiên bản
stare,nhìn chằm chằm
safety,sự an toàn
effective,có hiệu lực
neighborhood,khu vực lân cận
original,nguyên
troop,Đội quân
income,thu nhập
directly,trực tiếp
hurt,đau
species,loài
immediately,ngay lập tức
track,theo dõi
basic,căn bản
strike,đình công
sky,bầu trời
freedom,tự do
absolutely,chắc chắn rồi
plane,chiếc máy bay
nobody,không ai
achieve,Hoàn thành
object,vật
attitude,Thái độ
labor,nhân công
refer,tham khảo
concept,Ý tưởng
client,khách hàng
powerful,mạnh mẽ
perfect,hoàn hảo
nine,chín
therefore,vì thế
conduct,hạnh kiểm
announce,thông báo
conversation,cuộc nói chuyện
examine,nghiên cứu
touch,chạm
please,vui lòng
attend,tham gia
completely,hoàn toàn
variety,đa dạng
sleep,ngủ
involved,bị liên lụy
investigation,cuộc điều tra
nuclear,Nguyên tử
researcher,nhà nghiên cứu
press,nhấn
conflict,cuộc xung đột
spirit,tinh thần
replace,thay thế
British,người Anh
encourage,khuyến khích
argument,tranh luận
camp,trại
brain,não
afternoon,buổi chiều
AM,sáng
weekend,ngày cuối tuần
dozen,tá
possibility,khả năng
insurance,bảo hiểm
department,Phòng ban
battle,trận đánh
beginning,bắt đầu
date,ngày tháng
generally,nói chung là
African,Người châu Phi
sorry,lấy làm tiếc
crisis,cuộc khủng hoảng
complete,hoàn chỉnh
fan,quạt
stick,gậy
define,định nghĩa
easily,một cách dễ dàng
hole,hố
element,thành phần
vision,tầm nhìn
status,trạng thái
normal,thông thường
Chinese,người Trung Quốc
ship,tàu
solution,giải pháp
stone,cục đá
slowly,chậm rãi
scale,tỉ lệ
university,trường đại học
introduce,giới thiệu
driver,người lái xe
attempt,nỗ lực
park,công viên
spot,điểm
lack,thiếu sót
ice,Nước đá
boat,thuyền
drink,uống
sun,mặt trời
distance,khoảng cách
wood,gỗ
handle,xử lý
truck,xe tải
mountain,núi
survey,sự khảo sát
supposed,giả sử
tradition,truyền thống
winter,mùa đông
village,làng bản
Soviet,Liên Xô
refuse,từ chối
sales,bán hàng
roll,cuộn
communication,liên lạc
screen,màn hình
gain,nhận được
resident,cư dân
hide,ẩn giấu
gold,vàng
club,câu lạc bộ
farm,nông trại
potential,tiềm năng
European,Châu Âu
presence,sự có mặt
independent,sống độc lập
district,quận
shape,hình dạng
reader,người đọc
Ms,Bệnh đa xơ cứng
contract,hợp đồng
crowd,đám đông
Christian,Kitô giáo
express,bày tỏ
apartment,"căn hộ, chung cư"
willing,sẵn sàng
strength,sức lực
previous,Trước
band,ban nhạc
obviously,chắc chắn
horse,con ngựa
interested,quan tâm đến
target,Mục tiêu
prison,nhà tù
ride,lái
guard,bảo vệ
terms,điều kiện
demand,nhu cầu
reporter,phóng viên
deliver,giao
text,chữ
tool,dụng cụ
wild,hoang dã
vehicle,phương tiện giao thông
observe,quan sát
flight,chuyến bay
facility,cơ sở
understanding,sự hiểu biết
average,trung bình
emerge,hiện ra
advantage,thuận lợi
quick,nhanh
leadership,Khả năng lãnh đạo
earn,kiếm
pound,pao
basis,nền tảng
bright,sáng
operate,chạy
guest,khách
sample,vật mẫu
contribute,Góp phần
tiny,Nhỏ xíu
block,chặn
protection,sự bảo vệ
settle,ổn định
feed,cho ăn
collect,sưu tầm
additional,thêm vào
highly,Rất nhiều
identity,xác thực
title,Tiêu đề
mostly,hầu hết
lesson,bài học
faith,sự tin tưởng
river,con sông
promote,Quảng bá
living,cuộc sống
count,đếm
unless,trừ khi
marry,kết hôn
tomorrow,ngày mai
technique,kĩ thuật
path,con đường
ear,tai
shop,cửa tiệm
folk,dân gian
principle,nguyên tắc
survive,tồn tại
lift,thang máy
border,ranh giới
competition,cạnh tranh
jump,nhảy
gather,tập trung
limit,giới hạn
fit,Phù hợp
cry,khóc
equipment,Trang thiết bị
worth,đáng giá
associate,kết hợp
critic,nhà phê bình
warm,ấm
aspect,diện mạo
insist,khăng khăng
failure,thất bại
annual,hàng năm
French,người Pháp
Christmas,Giáng sinh
comment,bình luận
responsible,có tinh thần trách nhiệm
affair,công việc
procedure,thủ tục
regular,thường xuyên
spread,Lan tràn
chairman,Chủ tịch
baseball,bóng chày
soft,mềm
ignore,phớt lờ
egg,trứng
belief,sự tin tưởng
demonstrate,chứng tỏ
anybody,bất cứ ai
murder,giết người
gift,quà
religion,tôn giáo
review,ôn tập
editor,Biên tập viên
engage,thuê
coffee,cà phê
document,tài liệu
speed,"tốc độ, vận tốc"
cross,Thánh giá
influence,ảnh hưởng
anyway,dù sao
threaten,hăm dọa
commit,làm
female,nữ giới
youth,thiếu niên
wave,làn sóng
afraid,sợ
quarter,một phần tư
background,lai lịch
native,tự nhiên
broad,rộng lớn
wonderful,Tuyệt vời
deny,phủ nhận
apparently,rõ ràng
slightly,khinh bỉ
reaction,sự phản ứng lại
twice,hai lần
suit,bộ đồ
perspective,Góc nhìn cá nhân
growing,phát triển
blow,thổi
construction,xây dựng
intelligence,Sự thông minh
destroy,hủy hoại
cook,đầu bếp
connection,sự liên quan
burn,đốt cháy
shoe,giày
grade,cấp
context,bối cảnh
committee,ủy ban
hey,này
mistake,sai lầm
location,địa điểm
clothes,quần áo
Indian,người Ấn Độ
quiet,Yên tĩnh
dress,trang phục
promise,lời hứa
aware,nhận thức
neighbor,láng giềng
function,chức năng
bone,xương
active,tích cực
extend,gia hạn
chief,Trưởng phòng
combine,phối hợp
wine,rượu
below,phía dưới
cool,mát mẻ
voter,cử tri
learning,học hỏi
bus,xe buýt
hell,Địa ngục
dangerous,nguy hiểm
remind,nhắc nhở
moral,có đạo đức
United,Thống nhất
category,thể loại
relatively,tương đối
victory,chiến thắng
academic,thuộc về lý thuyết
Internet,Internet
healthy,mạnh khỏe
negative,từ chối
following,tiếp theo
historical,lịch sử
medicine,thuốc
tour,chuyến du lịch
depend,tùy theo
photo,tấm hình
finding,Phát hiện
grab,vồ lấy
direct,thẳng thắn
classroom,lớp học
contact,liên hệ
justice,Sự công bằng
participate,tham gia
daily,hằng ngày
fair,công bằng
pair,đôi
famous,nổi danh
exercise,tập thể dục
knee,đầu gối
flower,hoa
tape,Băng
hire,Thuê
familiar,thân thuộc
appropriate,thích hợp
supply,cung cấp
fully,đầy đủ
actor,diễn viên nam
birth,Sinh
search,Tìm kiếm
tie,buộc
democracy,nền dân chủ
eastern,phương Đông
primary,sơ cấp
yesterday,hôm qua
circle,khoanh tròn
device,thiết bị
progress,phát triển
bottom,đáy
island,Đảo
exchange,đổi
clean,dọn dẹp
studio,phòng thu
train,tàu hỏa
lady,quý bà
colleague,đồng nghiệp
application,đăng kí
neck,cổ
lean,dựa vào
damage,chấn thương
plastic,nhựa
tall,cao
plate,đĩa ăn
hate,ghét bỏ
otherwise,nếu không thì
writing,viết
male,Nam giới
alive,sống sót
expression,sự biểu lộ
football,bóng đá
intend,có ý định
chicken,thịt gà
army,quân đội
abuse,lạm dụng
theater,nhà hát
shut,im lặng
map,bản đồ
extra,thêm
session,phiên họp
danger,sự nguy hiểm
welcome,hoan nghênh
domestic,nội địa
lots,rất nhiều
literature,văn
rain,cơn mưa
desire,sự mong muốn
assessment,"thẩm định, lượng định, đánh giá"
injury,chấn thương
respect,sự tôn trọng
northern,Phương bắc
paint,Sơn
fuel,nhiên liệu
leaf,Lá cây
dry,khô
Russian,tiếng Nga
instruction,hướng dẫn
pool,hồ bơi
climb,trèo
sweet,ngọt
engine,động cơ
fourth,thứ tư
salt,Muối
expand,mở rộng
importance,tầm quan trọng
metal,kim loại
fat,mập mạp
ticket,vé
software,phần mềm
disappear,biến mất
corporate,công ty
strange,lạ lùng
lip,môi
reading,đọc hiểu
urban,đô thị
mental,tâm thần
increasingly,ngày càng
lunch,Bữa trưa
educational,giáo dục
somewhere,một vài nơi
farmer,nông dân
sugar,đường
planet,hành tinh
favorite,yêu thích
explore,khám phá
obtain,đạt được
enemy,kẻ thù
greatest,vĩ đại nhất
complex,phức tạp
surround,vây quanh
athlete,lực sĩ
invite,mời gọi
repeat,nói lại
carefully,cẩn thận
soul,tâm hồn
scientific,thuộc về khoa học
impossible,Không thể nào
panel,Bảng điều khiển
meaning,Ý nghĩa
mom,mẹ
married,đã cưới
instrument,dụng cụ
predict,dự đoán
weather,thời tiết
presidential,Tổng thống
emotional,xúc động
commitment,sự cam kết
Supreme,Tối cao
bear,gấu
pocket,túi
thin,gầy
temperature,nhiệt độ
surprise,bất ngờ
poll,Thăm dò ý kiến
proposal,đề xuất
consequence,hậu quả
breath,hơi thở
sight,thị giác
balance,THĂNG BẰNG
adopt,nhận nuôi
minority,thiểu số
straight,thẳng
connect,liên kết
works,làm
teaching,giảng bài
belong,thuộc về
aid,sự giúp đỡ
advice,lời khuyên
okay,Được chứ
photograph,ảnh chụp
empty,trống rỗng
regional,khu vực
trail,Đường mòn
novel,cuốn tiểu thuyết
code,mã số
somehow,bằng cách nào đó
organize,sắp xếp
jury,bồi thẩm đoàn
breast,nhũ hoa
Iraqi,người Iraq
acknowledge,thừa nhận
theme,Chủ đề
storm,bão táp
union,liên hiệp
desk,bàn
thanks,cảm ơn
fruit,hoa quả
expensive,đắt
yellow,màu vàng
conclusion,phần kết luận
prime,nguyên tố
shadow,bóng tối
struggle,đấu tranh
conclude,kết luận
analyst,nhà phân tích
dance,nhảy
regulation,Quy định
being,hiện tại
ring,nhẫn
largely,phần lớn
shift,sự thay đổi
revenue,doanh thu
mark,dấu
locate,định vị
county,Quận
appearance,xuất hiện
package,bưu kiện
difficulty,sự khó khăn
bridge,cầu
recommend,giới thiệu
obvious,rõ ràng
basically,về cơ bản
e-mail,e-mail
generate,phát ra
anymore,nữa không
propose,cầu hôn
thinking,Suy nghĩ
possibly,có khả năng
trend,xu hướng
visitor,khách thăm quan
loan,tiền vay
currently,hiện nay
comfortable,Thoải mái
investor,nhà đầu tư
profit,lợi nhuận
angry,tức giận
crew,phi hành đoàn
accident,Tai nạn
meal,bữa ăn
hearing,thính giác
traffic,giao thông đường bộ
muscle,bắp thịt
notion,khái niệm
capture,chiếm lấy
prefer,thích hơn
truly,Quả thật
earth,Trái đất
Japanese,tiếng Nhật
chest,ngực
thick,dày
cash,tiền mặt
museum,viện bảo tàng
beauty,"sắc đẹp, vẻ đẹp"
emergency,trường hợp khẩn cấp
unique,duy nhất
internal,nội bộ
ethnic,dân tộc
link,liên kết
stress,thư giãn
content,Nội dung
select,lựa chọn
root,nguồn gốc
nose,mũi
declare,tuyên bố
appreciate,đánh giá cao
actual,thật sự
bottle,chai
hardly,khó khăn
setting,cài đặt
launch,phóng
file,tập tin
sick,đau ốm
outcome,Kết quả
ad,quảng cáo
defend,phòng vệ
duty,nghĩa vụ
sheet,tấm
ought,nên
ensure,chắc chắn
Catholic,Công giáo
extremely,cực kì
extent,phạm vi
component,thành phần
mix,pha trộn
long-term,dài hạn
slow,chậm
contrast,tương phản
wake,thức dậy
airport,sân bay
brown,nâu
shirt,áo sơ mi
pilot,Phi công
warn,cảnh báo
